Avenger_id,Avenger_name,Avenger_category,About_avenger,Year_joined,Years_since_joined,Years_since_joined,No_of_appearances,Year_of_introduction,Serving_currently,Honorary,Probationary_Intro_Year
95,Maya Lopez,FEMALE,http://marvel.wikia.com/Maya_Lopez_(Earth-616)#,2005,10,10,67,,NO,Full,
96,Nathaniel Richards,MALE,http://marvel.wikia.com/Nathaniel_Richards_(Iron_Lad)_(Earth-6311)#,2005,10,10,23,,NO,Full,
97,Elijah Bradley,MALE,http://marvel.wikia.com/Elijah_Bradley_(Earth-616)#,2005,10,10,103,,NO,Full,
98,"William ""Billy"" Kaplan",MALE,http://marvel.wikia.com/William_Kaplan_(Earth-616)#,2005,10,10,123,,YES,Full,
99,"Dorrek VIII/Theodore ""Teddy"" Altman",MALE,http://marvel.wikia.com/Dorrek_VIII_(Earth-616)#,2005,10,10,110,,YES,Full,
100,Cassie Lang,FEMALE,http://marvel.wikia.com/Cassandra_Lang_(Earth-616)#,2005,10,10,160,,NO,Full,
101,"Katherine ""Kate"" Bishop",FEMALE,http://marvel.wikia.com/Katherine_Bishop_(Earth-616)#,2005,10,10,132,,YES,Full,
102,Alias: Jonas,MALE,http://marvel.wikia.com/Vision_(Jonas)_(Earth-616)#,2006,9,9,121,,NO,Full,
103,"Thomas ""Tommy"" Shepherd",MALE,http://marvel.wikia.com/Thomas_Shepherd_(Earth-616)#,2006,9,9,59,,YES,Full,
104,Daniel Thomas Rand K'ai,MALE,http://marvel.wikia.com/Daniel_Rand_(Earth-616)#,2007,8,8,629,,NO,Full,
105,Doctor Stephen Vincent Strange,MALE,http://marvel.wikia.com/Stephen_Strange_(Earth-616)#,2007,8,8,1324,,NO,Full,
106,Ares,MALE,http://marvel.wikia.com/Ares_(Earth-616)#,2007,8,8,236,,NO,Full,
107,James Buchanan Barnes,MALE,http://marvel.wikia.com/James_Buchanan_Barnes_(Earth-616)#,2008,7,7,663,,NO,Full,
108,Jessica Miriam Drew,FEMALE,http://marvel.wikia.com/Jessica_Drew_(Earth-616)#,2008,7,7,525,,YES,Full,
109,Jessica Jones,FEMALE,http://marvel.wikia.com/Jessica_Jones_(Earth-616)#,2010,5,5,205,,YES,Full,
110,Amadeus Cho,MALE,http://marvel.wikia.com/Amadeus_Cho_(Earth-616)#,2009,6,6,108,,NO,Full,
111,Maria Hill,FEMALE,http://marvel.wikia.com/Maria_Hill_(Earth-616)#,2010,5,5,359,,YES,Full,
112,Robbie Baldwin,MALE,http://marvel.wikia.com/Robert_Baldwin_(Earth-616)#,2010,5,5,299,,NO,Full,
113,Sharon Carter,FEMALE,http://marvel.wikia.com/Sharon_Carter_(Earth-616)#,2010,5,5,333,,NO,Full,
114,Eric O'Grady,MALE,http://marvel.wikia.com/Eric_O%27Grady_(Earth-616)#,2010,5,5,88,,NO,Full,
115,Brunnhilde,FEMALE,http://marvel.wikia.com/Brunnhilde_(Earth-616)#,2010,5,5,369,,NO,Full,
116,Richard Rider,MALE,http://marvel.wikia.com/Richard_Rider_(Earth-616)#,2010,5,5,380,,NO,Full,
117,Brian Braddock,MALE,http://marvel.wikia.com/Brian_Braddock_(Earth-616)#,2010,5,5,545,,NO,Full,
118,Dennis Sykes,MALE,http://marvel.wikia.com/Dennis_Sykes_(Earth-616)#,2010,5,5,6,,NO,Full,
119,Noh-Varr,MALE,http://marvel.wikia.com/Noh-Varr_(Earth-616)#,2010,5,5,126,,YES,Full,
120,Thaddeus Ross,MALE,http://marvel.wikia.com/Thaddeus_Ross_(Earth-616)#,2011,4,4,417,,NO,Full,
121,John Aman,MALE,http://marvel.wikia.com/John_Aman_(Earth-616)#,2010,5,5,31,,YES,Full,
122,Shang-Chi,MALE,http://marvel.wikia.com/Shang-Chi_(Earth-616)#,2011,4,4,310,,YES,Full,
123,James Santini,MALE,http://marvel.wikia.com/James_Santini_(Earth-616)#,1900,115,115,40,,YES,Academy,
124,Emery Schaub,MALE,http://marvel.wikia.com/Emery_Schaub_(Earth-616)#,1900,115,115,26,,YES,Academy,
125,Jeanne Foucault,FEMALE,http://marvel.wikia.com/Jeanne_Foucault_(Earth-616)#,2010,5,5,63,,YES,Academy,
126,Fiona,FEMALE,http://marvel.wikia.com/Fiona_(Inhuman)_(Earth-616)#,1900,115,115,2,,YES,Academy,
127,Jennifer Takeda,FEMALE,http://marvel.wikia.com/Jennifer_Takeda_(Earth-616)#,2010,5,5,73,,YES,Academy,
128,Yvette,FEMALE,http://marvel.wikia.com/Hollow_(Earth-616)#,1900,115,115,22,,YES,Academy,
129,Julie Power,FEMALE,http://marvel.wikia.com/Julie_Power_(Earth-616)#,1900,115,115,153,,YES,Academy,
130,Alani Ryan,FEMALE,http://marvel.wikia.com/Alani_Ryan_(Earth-616)#,1900,115,115,73,,YES,Academy,
131,Ken Mack,MALE,http://marvel.wikia.com/Ken_Mack_(Earth-616)#,2010,5,5,59,,NO,Academy,
132,Humberto Lopez,MALE,http://marvel.wikia.com/Humberto_Lopez_(Earth-616)#,2010,5,5,66,,YES,Academy,
133,Johnny Gallo,MALE,http://marvel.wikia.com/Johnathon_Gallo_(Earth-616)#,1900,115,115,43,,YES,Academy,
134,Lyra,FEMALE,http://marvel.wikia.com/Lyra_(Earth-8009)#,1900,115,115,55,,YES,Academy,
135,Anya Corazon,FEMALE,http://marvel.wikia.com/Anya_Corazon_(Earth-616)#,1900,115,115,108,,YES,Academy,
136,Brandon Sharpe,MALE,http://marvel.wikia.com/Brandon_Sharpe_(Earth-616)#,2010,5,5,64,,YES,Academy,
137,Kevin Masterson,MALE,http://marvel.wikia.com/Kevin_Masterson_(Earth-616)#,1900,115,115,62,,YES,Academy,
138,Michiko Musashi,FEMALE,http://marvel.wikia.com/Michiko_Musashi_(Earth-616)#,1900,115,115,94,,YES,Academy,
139,Taki Matsuya,MALE,http://marvel.wikia.com/Takashi_Matsuya_(Earth-616)#,1900,115,115,18,,YES,Academy,
140,Daisy Johnson,FEMALE,http://marvel.wikia.com/Daisy_Johnson_(Earth-616)#,2012,3,3,81,,NO,Full,
141,Ororo Munroe,FEMALE,http://marvel.wikia.com/Ororo_Munroe_(Earth-616)#,2012,3,3,1598,,NO,Full,
142,Matt Murdock,MALE,http://marvel.wikia.com/Matthew_Murdock_(Earth-616)#,2011,4,4,1375,,NO,Full,
143,Flash Thompson,MALE,http://marvel.wikia.com/Eugene_Thompson_(Earth-616)#,2012,3,3,746,,YES,Honorary,
144,Otto Octavius,MALE,http://marvel.wikia.com/Otto_Octavius_(Earth-616)#,2013,2,2,561,,NO,Full,
145,Alex Summers,MALE,http://marvel.wikia.com/Alexander_Summers_(Earth-616)#,2012,3,3,592,,YES,Full,
146,Samuel Guthrie,MALE,http://marvel.wikia.com/Samuel_Guthrie_(Earth-616)#,2013,2,2,679,,YES,Full,
147,Roberto da Costa,MALE,http://marvel.wikia.com/Roberto_da_Costa_(Earth-616)#,2013,2,2,491,,YES,Full,
148,Eden Fesi,MALE,http://marvel.wikia.com/Eden_Fesi_(Earth-616)#,2013,2,2,65,,YES,Full,
149,,MALE,http://marvel.wikia.com/Captain_Universe_(Earth-616)#,2013,2,2,55,,YES,Full,
150,Izzy Kane,FEMALE,http://marvel.wikia.com/Isabel_Kane_(Earth-616)#,2013,2,2,44,,YES,Full,
151,Marcus Milton,MALE,http://marvel.wikia.com/Marcus_Milton_(Earth-13034)#,2013,2,2,65,,YES,Full,
152,Anna Marie,FEMALE,http://marvel.wikia.com/Rogue_(Anna_Marie)_(Earth-616)#,2013,2,2,877,,YES,Full,
153,Shiro Yoshida,MALE,http://marvel.wikia.com/Shiro_Yoshida_(Earth-616)#,2013,2,2,176,,YES,Full,
154,,MALE,http://marvel.wikia.com/Ex_Nihilo_(Earth-616)#,2013,2,2,24,,YES,Full,
155,,FEMALE,http://marvel.wikia.com/Abyss_(Ex_Nihilo%27s)_(Earth-616)#,2013,2,2,25,,YES,Full,
156,Adam,MALE,http://marvel.wikia.com/Nightmask_(Earth-616)#,2013,2,2,35,,YES,Full,
157,Kevin Kale Connor,MALE,http://marvel.wikia.com/Kevin_Connor_(Earth-616)#,2013,2,2,44,,YES,Full,
158,Sam Alexander,MALE,http://marvel.wikia.com/Sam_Alexander_(Earth-616)#,2015,0,0,78,,YES,Honorary,
159,America Chavez,FEMALE,http://marvel.wikia.com/America_Chavez_(Earth-616)#,2013,2,2,22,,YES,Full,
160,Loki Laufeyson,MALE,http://marvel.wikia.com/Loki_Laufeyson_(Ikol)_(Earth-616)#,2013,2,2,77,,NO,Full,
161,David Alleyne,MALE,http://marvel.wikia.com/David_Alleyne_(Earth-616)#,2013,2,2,115,,YES,Full,
162,"Nicholas Fury, Jr., Marcus Johnson",MALE,"http://marvel.wikia.com/Nicholas_Fury,_Jr._(Earth-616)#",2013,2,2,77,,YES,Full,
163,Phillip Coulson,MALE,http://marvel.wikia.com/Phillip_Coulson_(Earth-616)#,2013,2,2,69,,YES,Full,
164,Tony Masters,MALE,http://marvel.wikia.com/Tony_Masters_(Earth-616)#,2013,2,2,173,,NO,Full,
165,Victor Mancha,MALE,http://marvel.wikia.com/Victor_Mancha_(Earth-616)#,2013,2,2,75,,YES,Full,
166,Monica Chang,FEMALE,http://marvel.wikia.com/Monica_Chang_(Earth-616)#,2013,2,2,12,,YES,Full,
167,,MALE,http://marvel.wikia.com/Doombot_(Avenger)_(Earth-616)#,2013,2,2,14,,YES,Full,
168,Alexis,FEMALE,http://marvel.wikia.com/Alexis_(Earth-616)#,2013,2,2,13,,YES,Full,
169,Eric Brooks,MALE,http://marvel.wikia.com/Eric_Brooks_(Earth-616)#,2013,2,2,198,,YES,Full,
170,Adam Brashear,MALE,http://marvel.wikia.com/Adam_Brashear_(Earth-616)#,2014,1,1,29,,YES,Full,
171,Victor Alvarez,MALE,http://marvel.wikia.com/Victor_Alvarez_(Earth-616)#,2014,1,1,45,,YES,Full,
172,Ava Ayala,FEMALE,http://marvel.wikia.com/Ava_Ayala_(Earth-616)#,2014,1,1,49,,YES,Full,
173,Kaluu,MALE,http://marvel.wikia.com/Kaluu_(Earth-616)#,2015,0,0,35,,YES,Full,
